Question,Parse,Answer
Where was _PERSON born?,predicate|PERSON|place_of_CITY|CITY,_PERSON was born in _CITY
Birth place of _PERSON?,predicate|PERSON|place_of_CITY|CITY,Birth place of _PERSON is _CITY
_PERSON was born in?,predicate|PERSON|place_of_CITY|CITY,_PERSON was born in _CITY
What is the birth place of _PERSON?,predicate|PERSON|place_of_CITY|CITY,The birth place of _PERSON is _CITY
_BOOK was written by?,predicate|BOOK|authored_by_PERSON|PERSON,_BOOK was written by _PERSON
Who wrote the book _BOOK?,predicate|BOOK|authored_by_PERSON|PERSON,_BOOK was written by _PERSON
Who wrote _BOOK?,predicate|BOOK|authored_by_PERSON|PERSON,_PERSON wrote _BOOK
What are the books written by _PERSON,predicate|PERSON|author_of_BOOK|BOOK,Books written by _PERSON are _BOOK
_PERSON books ?,predicate|PERSON|author_of_BOOK|BOOK,Books written by _PERSON are _BOOK
List of _PERSON books,predicate|PERSON|author_of_BOOK|BOOK,List of Books written by the _PERSON are _BOOK
Name the books written by _PERSON,predicate|PERSON|author_of_BOOK|BOOK,Books written by _PERSON are _BOOK
Who is the author of _BOOK?,predicate|BOOK|authored_by_PERSON|PERSON,Books written by  _PERSON are _BOOK
Author of _BOOK?,predicate|BOOK|authored_by_PERSON|PERSON,Author of _BOOK is _PERSON
_BOOK author?,predicate|BOOK|authored_by_PERSON|PERSON,Author of _BOOK is _PERSON
Quotes by _PERSON,predicate|PERSON|quoted_QUOTATION|QUOTATION,_QUOTATION
Quotations by _PERSON,predicate|PERSON|quoted_QUOTATION|QUOTATION,_QUOTATION
_PERSON Quotes ?,predicate|PERSON|quoted_QUOTATION|QUOTATION,_QUOTATION
What are the quotes written by _PERSON?,predicate|PERSON|quoted_QUOTATION|QUOTATION,_QUOTATION